y,u,v
81.4326400756836,118.51054382324219,145.3685302734375
81.40906524658203,118.51629638671875,145.35891723632812
81.44165802001953,118.51821899414062,145.36277770996094
81.47650146484375,118.52940368652344,145.35623168945312
81.53672790527344,118.53052520751953,145.3553009033203
81.55889892578125,118.53721618652344,145.37017822265625
81.81608581542969,118.52572631835938,145.3609161376953
81.8873062133789,118.52986907958984,145.35948181152344
82.00982666015625,118.51644134521484,145.3722686767578
82.14031982421875,118.48978424072266,145.37753295898438
82.20762634277344,118.46659851074219,145.3843231201172
82.35923767089844,118.46671295166016,145.40606689453125
82.41972351074219,118.4730453491211,145.4055938720703
82.44527435302734,118.47188568115234,145.40426635742188
82.59555053710938,118.47203063964844,145.43357849121094
82.59524536132812,118.49083709716797,145.43325805664062
82.68525695800781,118.50040435791016,145.45252990722656
82.73502349853516,118.53153228759766,145.47616577148438
82.92137145996094,118.56343841552734,145.4825897216797
83.05078887939453,118.57723999023438,145.4736328125
83.29894256591797,118.57272338867188,145.46261596679688
83.39265441894531,118.56048583984375,145.4476318359375
83.46863555908203,118.59381103515625,145.49246215820312
83.54957580566406,118.68175506591797,145.552734375
83.6181411743164,118.68424987792969,145.56822204589844
83.61915588378906,118.72064208984375,145.59767150878906
83.66918182373047,118.72026062011719,145.61346435546875
83.74887084960938,118.70252990722656,145.60968017578125
83.76725006103516,118.69758605957031,145.60411071777344
83.83367156982422,118.68968963623047,145.6185302734375
83.83924102783203,118.6711654663086,145.55738830566406
83.99653625488281,118.67467498779297,145.5491485595703
84.05831146240234,118.75532531738281,145.5730438232422
84.03279876708984,118.7530517578125,145.5783233642578
84.02995300292969,118.75091552734375,145.57424926757812
83.98828887939453,118.76151275634766,145.58535766601562
83.96966552734375,118.75505065917969,145.60409545898438
83.92324829101562,118.74759674072266,145.60211181640625
83.79679107666016,118.71571350097656,145.5783233642578
83.88178253173828,118.72672271728516,145.58029174804688
83.89314270019531,118.732421875,145.57797241210938
83.87688446044922,118.72985076904297,145.5668487548828
83.89910888671875,118.72154998779297,145.56698608398438
83.8316879272461,118.72518920898438,145.55264282226562
83.90510559082031,118.75337982177734,145.56082153320312
83.906982421875,118.75692749023438,145.5703125
83.91712951660156,118.75662231445312,145.575927734375
84.00469207763672,118.76042175292969,145.5582275390625
84.01020050048828,118.76670837402344,145.55137634277344
84.02648162841797,118.78311157226562,145.59469604492188
84.11248779296875,118.81768035888672,145.6207733154297
83.99645233154297,118.84284973144531,145.67295837402344
84.0186538696289,118.8248519897461,145.6497039794922
84.02864074707031,118.82246398925781,145.65464782714844
83.94898986816406,118.82350158691406,145.65013122558594
84.05380249023438,118.76286315917969,145.6371307373047
84.08799743652344,118.75614166259766,145.64218139648438
84.0505142211914,118.74727630615234,145.61834716796875
84.1226806640625,118.7468490600586,145.61859130859375
84.27587127685547,118.75086212158203,145.60997009277344
84.29434204101562,118.7397232055664,145.60409545898438
84.419921875,118.73966217041016,145.60838317871094
84.38104248046875,118.72439575195312,145.60194396972656
84.38540649414062,118.7029037475586,145.60731506347656
84.46604919433594,118.70036315917969,145.61146545410156
84.33492279052734,118.69073486328125,145.60162353515625
