b,g,r
62.28696823120117,75.13021850585938,101.15774536132812
62.27450942993164,75.11175537109375,101.12259674072266
62.31159591674805,75.14159393310547,101.16021728515625
62.3668212890625,75.17479705810547,101.18685150146484
62.42813491821289,75.2347183227539,101.24676513671875
62.46903610229492,75.25403594970703,101.28770446777344
62.70489501953125,75.52351379394531,101.5316390991211
62.78380584716797,75.59478759765625,101.60041046142578
62.87651824951172,75.71337890625,101.73596954345703
62.946044921875,75.84898376464844,101.86836242675781
62.9713249206543,75.9277114868164,101.94660186767578
63.12750244140625,76.07009887695312,102.12596130371094
63.20066833496094,76.13102722167969,102.18526458740234
63.224754333496094,76.15753936767578,102.21067810058594
63.37590789794922,76.28731536865234,102.39877319335938
63.41224670410156,76.28406524658203,102.39807891845703
63.522518157958984,76.358642578125,102.51129913330078
63.63742446899414,76.3866958618164,102.59032440185547
63.88848114013672,76.56266784667969,102.78216552734375
64.0440673828125,76.68416595458984,102.9067611694336
64.28533935546875,76.94332122802734,103.14250946044922
64.3625717163086,77.04840087890625,103.22247314453125
64.5045166015625,77.0894546508789,103.34979248046875
64.76372528076172,77.10062408447266,103.50392150878906
64.83737182617188,77.16507720947266,103.58931732177734
64.91458129882812,77.13859558105469,103.62622833251953
64.9617919921875,77.17884063720703,103.69453430175781
65.00499725341797,77.26893615722656,103.76757049560547
65.01210021972656,77.29060363769531,103.77964782714844
65.07152557373047,77.36297607421875,103.86095428466797
65.03703308105469,77.40758514404297,103.79883575439453
65.20256805419922,77.57356262207031,103.9454574584961
65.42524719238281,77.59146881103516,104.03384399414062
65.39655303955078,77.56208038330078,104.01311492919922
65.38886260986328,77.55976104736328,104.006103515625
65.36734008789062,77.50920104980469,103.97547912597656
65.33513641357422,77.48131561279297,103.97891998291016
65.27458953857422,77.44009399414062,103.93032836914062
65.08771514892578,77.32794952392578,103.78189086914062
65.19401550292969,77.4043197631836,103.87042999267578
65.21687316894531,77.41397094726562,103.87995910644531
65.19462585449219,77.40481567382812,103.85066986083984
65.19985961914062,77.42764282226562,103.87352752685547
65.14143371582031,77.36682891845703,103.79061889648438
65.27288055419922,77.43058776855469,103.8727798461914
65.28263854980469,77.42919921875,103.88545227050781
65.29170227050781,77.43598937988281,103.90103149414062
65.3860855102539,77.5329360961914,103.96861267089844
65.40802001953125,77.54531860351562,103.96468353271484
65.46009826660156,77.53427124023438,104.03235626220703
65.6173324584961,77.59712982177734,104.14833068847656
65.55079650878906,77.4405746459961,104.09506225585938
65.53257751464844,77.4741439819336,104.0918960571289
65.53627014160156,77.47770690917969,104.10672760009766
65.4609603881836,77.4023666381836,104.02167510986328
65.44571685791016,77.54216003417969,104.11246490478516
65.46678924560547,77.57443237304688,104.152099609375
65.41188049316406,77.55773162841797,104.08506774902344
65.4861831665039,77.62858581542969,104.15721893310547
65.64579772949219,77.7840347290039,104.3011245727539
65.64730072021484,77.8180923461914,104.31597137451172
65.77117156982422,77.93323516845703,104.44727325439453
65.70491027832031,77.90728759765625,104.3993911743164
65.66342163085938,77.91375732421875,104.41348266601562
65.73922729492188,77.99195861816406,104.49869537353516
65.58707427978516,77.87074279785156,104.3559341430664
65.50968933105469,77.84996032714844,104.35470581054688
65.59730529785156,77.85006713867188,104.36164093017578
65.66641998291016,77.87964630126953,104.40916442871094
65.6624526977539,77.87800598144531,104.4223861694336
65.82003784179688,78.04779815673828,104.61334228515625
65.8368911743164,78.06413269042969,104.630859375
65.85115051269531,78.0736083984375,104.65945434570312
65.94746398925781,78.09211730957031,104.70547485351562
66.00646209716797,78.15725708007812,104.74442291259766
65.91857147216797,78.03292846679688,104.62354278564453
65.95211029052734,78.01325225830078,104.64109802246094
65.95783996582031,78.0268325805664,104.66374206542969
66.01637268066406,78.03851318359375,104.6854248046875
66.1054458618164,78.05976104736328,104.76138305664062
66.17050170898438,78.1181640625,104.87095642089844
66.22505950927734,78.11404418945312,104.89185333251953
66.2088851928711,77.91526794433594,104.78162384033203
66.09980010986328,77.7611312866211,104.71205139160156
66.1622085571289,77.77520751953125,104.7236557006836
66.17552185058594,77.7855224609375,104.73682403564453
66.1395263671875,77.74596405029297,104.70439910888672
65.91409301757812,77.5579833984375,104.5783462524414
65.91825866699219,77.54900360107422,104.57264709472656
65.91988372802734,77.56649780273438,104.59043884277344
65.84101104736328,77.50700378417969,104.64042663574219
65.8706283569336,77.5306625366211,104.67845916748047
65.88910675048828,77.55130767822266,104.69928741455078
65.85763549804688,77.5224380493164,104.65677642822266
65.84906005859375,77.51719665527344,104.66436767578125
65.8903579711914,77.5499267578125,104.72193145751953
65.86233520507812,77.48140716552734,104.63880920410156
65.94647216796875,77.56243133544922,104.71180725097656
65.94046020507812,77.54395294189453,104.69509887695312
65.91277313232422,77.51326751708984,104.6648941040039
66.00886535644531,77.60906982421875,104.78711700439453
65.96273803710938,77.56587219238281,104.76240539550781
65.90164947509766,77.50437927246094,104.69462585449219
65.8995361328125,77.53353881835938,104.69730377197266
65.86917877197266,77.49566650390625,104.6822738647461
65.78340148925781,77.42707061767578,104.62348937988281
65.75125122070312,77.36471557617188,104.59165954589844
65.66279602050781,77.29351806640625,104.56900024414062
65.72695922851562,77.33855438232422,104.6144790649414
65.69962310791016,77.28982543945312,104.57975006103516
65.64649200439453,77.25987243652344,104.54134368896484
65.56902313232422,77.2198257446289,104.5076675415039
65.59540557861328,77.23399353027344,104.55077362060547
65.59735870361328,77.24705505371094,104.611083984375
65.59075927734375,77.2317886352539,104.59151458740234
65.55397033691406,77.20466613769531,104.57035064697266
65.45258331298828,77.11363983154297,104.49018096923828
65.39811706542969,77.06327056884766,104.42981719970703
65.35887145996094,77.0164566040039,104.3831787109375
65.34416961669922,77.0057373046875,104.39301300048828
65.3299331665039,76.951416015625,104.382080078125
65.33231353759766,76.97361755371094,104.4327392578125
65.4870834350586,77.05188751220703,104.5789566040039
65.5642318725586,77.09481811523438,104.65190124511719
65.62967681884766,77.13703155517578,104.6818618774414
65.68659973144531,77.13878631591797,104.6777572631836
65.7356185913086,77.16732025146484,104.71806335449219
65.7867660522461,77.21931457519531,104.74525451660156
65.76374816894531,77.17926788330078,104.7081527709961
65.90803527832031,77.35723876953125,104.87572479248047
65.91205596923828,77.35552215576172,104.87544250488281
65.848388671875,77.38330078125,104.89041900634766
65.91277313232422,77.54843139648438,104.99851989746094
65.81734466552734,77.60906219482422,105.03673553466797
