b,g,r
0.0,0.0,0.0
0.0,0.0,0.0
0.5826980763067477,0.702481289907817,0.9456215168923753
0.5833489744876573,0.7030938258703916,0.9462038359984449
0.5841421758826851,0.70384612222078,0.9469480048105521
0.5850220116075505,0.7047366461337798,0.9478447075538243
0.5859241208273112,0.7057866551620016,0.9489061236533181
0.5867701096328867,0.7068659542221871,0.9499960811957234
0.5877956350461542,0.7081369277268402,0.9513016205028036
0.5885677749476094,0.7090830967593889,0.9523196065549023
0.5892545281676475,0.7099595519511533,0.9532700651215439
0.5900323003105432,0.7108534266913396,0.9543023456598304
0.5907583841617379,0.7115310423719939,0.9551273502072117
0.5916168375691512,0.7122021940455944,0.9560068354022829
0.5924110133181835,0.7126952765836924,0.9567300556032936
0.5934822442519173,0.7133675333173223,0.9576596962648638
0.5947582796444473,0.7141877255065108,0.9587438076832423
0.5961746695430864,0.7152094188567729,0.9599021363590843
0.5976547489229942,0.7163998299205673,0.9611860854073092
0.5991841579449705,0.7175380298685606,0.9624919930677326
0.600938310035737,0.7186499341407987,0.9639148707381577
0.602416155530854,0.7195881538705546,0.9651719656394298
0.6037719334809947,0.7202959032311528,0.9662924965093174
0.6048254715718911,0.720662711866743,0.9671522450946147
0.6058260143108364,0.7210061835356892,0.9680012044916674
0.6066165481147177,0.7213194621128624,0.9686706807516746
0.6070959302849234,0.7217280610293523,0.9692267398290868
0.6074068918007445,0.7221057539121145,0.9695530533616614
0.6078554154666863,0.7227831913572803,0.970050235315998
0.6085772216661539,0.7234258372350666,0.9705786916574051
0.6091870484493013,0.7238823933803625,0.9709611137217988
0.6097738353249526,0.7243015913672425,0.9713138061066899
0.6102345502983162,0.7245293287922416,0.97149217230134
0.6106988299814526,0.7246441599763797,0.9717726436662403
0.6108109995156271,0.7244362898671793,0.9717490809346441
0.6102853117654766,0.7240258729487056,0.9713566776828872
0.6099698705977081,0.7237801693864531,0.9711344536756696
0.6097020064230366,0.7235531092563107,0.9709379906377413
0.6094330134236038,0.7233905347259529,0.9707436070138469
0.6092223271936832,0.7233069422817878,0.9705794640111891
0.6090149442614851,0.7231928359219701,0.9703618741266757
0.5081527080368714,0.6030761937596467,0.809031167783765
0.4070786098222307,0.48279731637452494,0.6475220355703216
0.30592079763322677,0.3624721240355922,0.4859607920529516
0.20488272252717915,0.2422704797844275,0.3244891755052862
0.10381024955614224,0.12201194276529442,0.16291579309492932
0.0028506818357686677,0.001791416246465217,0.0015177915008018847
0.0030226919548553203,0.00180625296461713,0.0015852843953714532
0.0030827416033935586,0.0015866750282605058,0.001556576203258436
0.003107800786949869,0.001416613287117651,0.001506364493560543
0.0030005015705081924,0.0011111333707428052,0.0013840339522174835
0.0027508189999917616,0.0006808554737317093,0.0011470112504194095
0.002402920885692089,0.0004959061843166623,0.0009559785857377821
0.0018531003804468967,0.0002771664828624036,0.0006598565606208681
0.0013292876016242267,0.0002863578889716929,0.0003526437992172516
0.0009580150912275529,0.00036385679184631743,0.0001735453867737678
0.0008394579272061683,0.0006886773711581628,0.00020716456071896518
0.0008508387912599939,0.0011928998913478576,0.00040625465772331607
0.0010928790861161296,0.0016704162660527472,0.0006815945568917742
0.0012129165948907327,0.0020674500758038547,0.0008320144831355952
0.0013687807571410497,0.0025109097414482517,0.0011204958829215995
0.0015446234013249424,0.0029791428197487218,0.0014433998366122892
0.001254496293861342,0.0030319182159039464,0.0013351448818726718
0.0008616606560117159,0.003016096317591882,0.0012181241737766935
0.00043205034992599173,0.002836020910619023,0.000922626633001721
0.00023390371277447918,0.002755583894733612,0.0007907995727989381
0.00011297198995195702,0.0026747881634252534,0.0006719830431354414
0.00013699206060901702,0.0027459777940551135,0.0007304691043464939
0.00043929185978873215,0.003038000799012847,0.0010490180389037288
0.0008983973006770487,0.0033836747984671814,0.0014247952202291441
0.0013839255586355825,0.003765254403118337,0.0018717846086800695
0.0018634056923467752,0.0042109336947145515,0.0023153703594300124
0.0022201485117239158,0.004474581081776651,0.0025573497241524385
0.002392515299827061,0.004454667160698599,0.002537172278603216
0.002554980644444577,0.00443867283605423,0.0025293152621869903
0.0027903006032085533,0.0044306394325158835,0.0025110988030911286
0.003016177777811954,0.004429443010294981,0.002538258854954907
0.0032506828703276042,0.004417982468376395,0.0026724683295208944
0.0037051819140318876,0.004591280173835424,0.0030247899845979457
0.0040756375117716554,0.0044790778971412004,0.003172424024141383
0.004256646740678559,0.004098901071798983,0.00316984013766144
0.00443423780899297,0.0037151840935737614,0.0031452172349737757
0.004485974158262261,0.0033081358258349697,0.0030172696352120123
0.004374540010511119,0.0027424802856623213,0.002662327522376521
0.003821628307775158,0.0018829476953724621,0.0020718420622957098
0.0032975615763875016,0.0013110003104254261,0.0016366951678158479
0.002946744888967899,0.0009957089924935777,0.00132971662104641
0.00237546582108989,0.0005543148781233847,0.0010742472063059872
0.0018283826828845251,0.00012097568757553309,0.0008485646384520564
0.0013649360856246332,-0.00023082644405607284,0.0006967981760981197
0.0012070829473474702,-0.0003434193865365456,0.0006688698632674583
0.0010341298304997824,-0.0004569412659783483,0.0006583238674439108
0.0009298062225352457,-0.0005486211124321052,0.0007108333626549239
0.0009131999560465969,-0.0006560568440550934,0.0005586467926532355
0.0009893945712242472,-0.0006751190635502188,0.00046315468713604144
0.0010351309858415848,-0.0007561562709399263,0.0003122996022464239
0.0010897073525903101,-0.0008438919640712134,0.0001809392549728365
0.0013086486581865245,-0.0007760266233434525,0.0002287317149715098
0.0013893418050693021,-0.0008295646033387068,0.0001467709836997229
0.0014144104285051637,-0.0008745038432306545,8.48142154331973e-05
0.0013033322236261516,-0.0010013939124230346,-8.86094431040354e-05
0.001152997982443363,-0.0011587981613219894,-0.0002608060493219898
0.0009122440857234384,-0.0013735122492322892,-0.00047719858743086694
0.00047284568072072545,-0.0018346163040662458,-0.0009340858546567994
-3.150833765234949e-05,-0.002339539487765338,-0.0013888555522506665
-0.00033936551936654185,-0.002678229956722219,-0.0016666319965620868
-0.0006848041159498239,-0.003137396129704294,-0.0020019544749171263
-0.0010672977385916067,-0.0035859257368290745,-0.0023758599195587106
-0.0014388028132944902,-0.003991537426529832,-0.002712344097220532
-0.0017203570578084968,-0.004278827949198695,-0.00293355255823149
-0.0018598003184779105,-0.004433828527500179,-0.0030247214629533135
-0.0021055952429218363,-0.004679456834768828,-0.003214323754833129
-0.002361065581845865,-0.004886282616032063,-0.0033775096989286765
-0.0026848193887515598,-0.005181257728786263,-0.0035979678545454154
-0.0029654823237950994,-0.005485527492206379,-0.0038523983544258306
-0.003342094439364818,-0.005878760133103694,-0.004239384435565277
-0.003740264335323679,-0.006304148964647923,-0.004699653952234125
-0.004148639467255804,-0.006789025276796859,-0.005144841445907943
-0.00449644569125893,-0.007199404831830944,-0.005479967205092326
-0.004445368285191723,-0.007348229352411619,-0.005464199305531968
-0.004188826288888831,-0.007353939753415596,-0.005242580110740201
-0.0037677341208566303,-0.007222286835887112,-0.0049018506277931665
-0.0032322720685362487,-0.0070713385404395646,-0.004580297171000285
-0.00259368692328585,-0.006790024451744107,-0.004174838631792827
-0.0018761064892140568,-0.006464331178669754,-0.0038043419738782083
-0.0014346624689064824,-0.0063282626419442324,-0.0037196579363648827
-0.0008869627679373927,-0.005986377796951147,-0.0034874491770736267
-0.0004345228062185308,-0.005717624029151843,-0.0033033449879253805
-0.00017083343479514207,-0.00541451332451291,-0.003092897725587829
0.00011232096832738112,-0.0049077614447001,-0.002781700146763961
0.00016410867582348826,-0.004393040062072713,-0.0024556296745853346
0.0003815599327343729,-0.003369416883560788,-0.0017320948549313753
0.0005559050027346213,-0.002394479586937776,-0.0010951266356288237
0.0007713922365880592,-0.0013226913702430593,-0.00039218844498823275
0.0011623409547305925,-0.00013792033744000935,0.00046575441677100033
0.0011519104819101907,0.0007004844820812286,0.0010330874829564951
0.0011988711762945723,0.0014473315794644387,0.0015677712403098804
