y,u,v
155.31736755371094,125.33894348144531,131.1104736328125
155.43917846679688,125.34993743896484,131.10479736328125
155.52272033691406,125.35086822509766,131.1107940673828
155.6639404296875,125.35984802246094,131.11009216308594
155.718505859375,125.36680603027344,131.11715698242188
155.7138214111328,125.35980224609375,131.1234893798828
155.82923889160156,125.35663604736328,131.1192626953125
155.89706420898438,125.36029052734375,131.1202850341797
156.15171813964844,125.35665130615234,131.12815856933594
156.56741333007812,125.34021759033203,131.10655212402344
156.65240478515625,125.30854034423828,131.11961364746094
156.76161193847656,125.31259155273438,131.11822509765625
156.82728576660156,125.32112121582031,131.1213836669922
156.86764526367188,125.33309936523438,131.13121032714844
156.7284393310547,125.31613159179688,131.13626098632812
156.8175506591797,125.32179260253906,131.15084838867188
156.83216857910156,125.3291244506836,131.1479034423828
156.7260284423828,125.3424072265625,131.1393585205078
156.5843505859375,125.3569107055664,131.144287109375
156.58181762695312,125.35712432861328,131.15792846679688
156.7168426513672,125.33292388916016,131.15560913085938
156.67617797851562,125.34164428710938,131.15550231933594
156.6453399658203,125.37406921386719,131.18157958984375
156.6018829345703,125.39263916015625,131.1657257080078
156.48585510253906,125.3955307006836,131.15280151367188
156.343505859375,125.38726806640625,131.15359497070312
156.23837280273438,125.37893676757812,131.15391540527344
156.21678161621094,125.3676986694336,131.1566925048828
156.29005432128906,125.36324310302734,131.14813232421875
156.1780242919922,125.33952331542969,131.13442993164062
156.14883422851562,125.24942016601562,131.07730102539062
155.98394775390625,125.24788665771484,131.0685577392578
155.75372314453125,125.27666473388672,131.082763671875
155.68045043945312,125.28208923339844,131.08290100097656
155.7145233154297,125.28104400634766,131.08746337890625
155.69288635253906,125.2971420288086,131.102783203125
155.5919647216797,125.3041000366211,131.11984252929688
155.47848510742188,125.30690002441406,131.12721252441406
155.3970947265625,125.28364562988281,131.12448120117188
155.44625854492188,125.29053497314453,131.13246154785156
155.39671325683594,125.29109954833984,131.13119506835938
155.41957092285156,125.28583526611328,131.12733459472656
155.41574096679688,125.28352355957031,131.1287841796875
155.29830932617188,125.29029846191406,131.1299285888672
155.17539978027344,125.27946472167969,131.15182495117188
155.16104125976562,125.28648376464844,131.14785766601562
155.05545043945312,125.29216003417969,131.14344787597656
154.8569793701172,125.289794921875,131.1442413330078
154.71205139160156,125.30233764648438,131.13084411621094
154.407958984375,125.31396484375,131.13555908203125
154.14064025878906,125.33917999267578,131.134765625
154.01324462890625,125.34562683105469,131.14991760253906
153.91217041015625,125.35372924804688,131.14500427246094
153.7276153564453,125.35321807861328,131.157470703125
153.61773681640625,125.3484115600586,131.15435791015625
153.64169311523438,125.32518005371094,131.144287109375
153.6568145751953,125.32018280029297,131.14349365234375
153.60452270507812,125.31110382080078,131.14259338378906
153.5499267578125,125.2927017211914,131.1544647216797
153.47882080078125,125.2977523803711,131.16146850585938
153.4923858642578,125.27906036376953,131.1659698486328
153.4495086669922,125.2802963256836,131.169677734375
153.3408966064453,125.24496459960938,131.17782592773438
153.38035583496094,125.24234771728516,131.19375610351562
153.3375244140625,125.24552917480469,131.20004272460938
153.38638305664062,125.2596206665039,131.20819091796875
153.45606994628906,125.26213836669922,131.2120819091797
153.62295532226562,125.27143096923828,131.2187042236328
153.79998779296875,125.27978515625,131.23825073242188
153.88916015625,125.27278137207031,131.24435424804688
153.9322509765625,125.27181243896484,131.25314331054688
154.0074920654297,125.26787567138672,131.2507781982422
154.1015167236328,125.26541900634766,131.24871826171875
154.0805206298828,125.26795959472656,131.25509643554688
154.0203857421875,125.27111053466797,131.26438903808594
153.7566375732422,125.26799774169922,131.270263671875
153.66195678710938,125.27364349365234,131.27561950683594
153.57000732421875,125.27254486083984,131.281982421875
153.44363403320312,125.278564453125,131.28524780273438
153.3070831298828,125.27926635742188,131.28286743164062
153.1041717529297,125.27637481689453,131.296630859375
152.94261169433594,125.28919219970703,131.30152893066406
152.7339630126953,125.31742095947266,131.33152770996094
152.60562133789062,125.31869506835938,131.3342742919922
152.5650177001953,125.32318115234375,131.34219360351562
152.58804321289062,125.3219985961914,131.34808349609375
152.58860778808594,125.31736755371094,131.3582305908203
152.44630432128906,125.31189727783203,131.37814331054688
152.44126892089844,125.32019805908203,131.38134765625
152.42169189453125,125.32685089111328,131.3798065185547
152.28184509277344,125.3426513671875,131.50686645507812
152.23866271972656,125.34318542480469,131.5142364501953
152.2822265625,125.34234619140625,131.5152130126953
152.31411743164062,125.34516143798828,131.5151824951172
152.39842224121094,125.34400177001953,131.51953125
152.49258422851562,125.34257507324219,131.5240936279297
152.68348693847656,125.33779907226562,131.5352020263672
152.7493133544922,125.33625030517578,131.54647827148438
152.78952026367188,125.33809661865234,131.54571533203125
152.8442840576172,125.33843231201172,131.53994750976562
152.79339599609375,125.33538055419922,131.55615234375
152.73849487304688,125.33512115478516,131.5615692138672
152.7469482421875,125.3343276977539,131.5631103515625
152.78369140625,125.32731628417969,131.5634307861328
152.68531799316406,125.3154067993164,131.58604431152344
152.66065979003906,125.32273864746094,131.5948486328125
152.4498748779297,125.33287048339844,131.6071014404297
152.3226776123047,125.34495544433594,131.61148071289062
152.3486328125,125.34944152832031,131.615234375
152.17193603515625,125.36170196533203,131.62368774414062
152.0478973388672,125.36978912353516,131.61941528320312
151.88070678710938,125.36750030517578,131.6179962158203
151.69859313964844,125.3661117553711,131.62319946289062
151.5397186279297,125.36075592041016,131.62928771972656
151.4843292236328,125.3603515625,131.62985229492188
151.4668426513672,125.36334991455078,131.62612915039062
151.32461547851562,125.364501953125,131.62376403808594
151.29086303710938,125.3607177734375,131.62135314941406
151.2609405517578,125.36238098144531,131.62252807617188
151.15992736816406,125.35052490234375,131.64553833007812
151.1915283203125,125.34012603759766,131.6928253173828
151.2206573486328,125.34220886230469,131.68934631347656
151.30557250976562,125.3467025756836,131.6909637451172
151.3008270263672,125.35067749023438,131.71807861328125
151.3528594970703,125.35816955566406,131.71885681152344
151.3243865966797,125.36796569824219,131.72238159179688
151.3145751953125,125.37374877929688,131.71932983398438
151.2769775390625,125.3844223022461,131.71861267089844
151.24063110351562,125.38977813720703,131.72000122070312
151.2836151123047,125.37193298339844,131.70863342285156
151.3306427001953,125.35912322998047,131.6995391845703
151.32025146484375,125.35089111328125,131.6909942626953
151.29449462890625,125.32877349853516,131.67727661132812
151.24240112304688,125.28426361083984,131.67417907714844
151.33949279785156,125.2356948852539,131.65444946289062
151.34652709960938,125.22478485107422,131.6481170654297
151.37730407714844,125.2136459350586,131.6422882080078
151.3367156982422,125.1981430053711,131.64317321777344
151.34548950195312,125.15668487548828,131.63119506835938
151.40553283691406,125.14727783203125,131.61508178710938
151.41270446777344,125.13348388671875,131.60736083984375
151.5425262451172,125.11454010009766,131.6089630126953
151.58975219726562,125.11217498779297,131.6068572998047
151.63853454589844,125.09416961669922,131.6002960205078
151.76634216308594,125.08076477050781,131.59327697753906
151.90223693847656,125.06881713867188,131.58566284179688
151.98667907714844,125.06592559814453,131.58328247070312
152.12425231933594,125.05587768554688,131.5757598876953
152.27145385742188,125.05776977539062,131.5784912109375
152.3893585205078,125.05696868896484,131.5782928466797
152.5655517578125,125.0498046875,131.57791137695312
152.69068908691406,125.0446548461914,131.5791473388672
152.76852416992188,125.0386962890625,131.582275390625
152.89466857910156,125.0203857421875,131.58656311035156
152.9564208984375,125.01580047607422,131.5855255126953
152.99632263183594,125.00968170166016,131.58428955078125
153.01605224609375,125.00450134277344,131.5731964111328
153.07652282714844,125.0069580078125,131.57667541503906
153.04115295410156,125.01095581054688,131.578857421875
153.15280151367188,124.99589538574219,131.57618713378906
153.23696899414062,124.98873901367188,131.5723876953125
153.303955078125,124.98210906982422,131.5670623779297
153.36341857910156,124.97293090820312,131.56602478027344
153.44134521484375,124.97200012207031,131.5672149658203
153.55809020996094,124.96607208251953,131.5589599609375
153.61221313476562,124.95769500732422,131.55343627929688
153.67501831054688,124.95658111572266,131.55271911621094
153.7235870361328,124.95298767089844,131.54718017578125
153.755615234375,124.95712280273438,131.5449676513672
153.7688751220703,124.95160675048828,131.53781127929688
153.8013153076172,124.94921112060547,131.53936767578125
153.84642028808594,124.9422378540039,131.53895568847656
153.9007568359375,124.93699645996094,131.52711486816406
153.988037109375,124.93865966796875,131.52041625976562
153.98765563964844,124.93900299072266,131.5182342529297
154.0298614501953,124.93563079833984,131.5162811279297
154.03402709960938,124.93629455566406,131.5173797607422
154.02554321289062,124.92682647705078,131.5265655517578
154.04776000976562,124.92533874511719,131.53118896484375
154.08982849121094,124.92394256591797,131.53395080566406
154.23782348632812,124.91007232666016,131.5314483642578
154.27859497070312,124.9061050415039,131.53076171875
154.2659454345703,124.90559387207031,131.53146362304688
154.3731231689453,124.90495300292969,131.53407287597656
154.3314666748047,124.90205383300781,131.5343780517578
154.38172912597656,124.90010070800781,131.54246520996094
154.38497924804688,124.9046630859375,131.54641723632812
154.41053771972656,124.89891052246094,131.54592895507812
154.44879150390625,124.89022064208984,131.53868103027344
154.47598266601562,124.89334869384766,131.54237365722656
154.50436401367188,124.89784240722656,131.5422821044922
154.4960479736328,124.89319610595703,131.54689025878906
154.5703887939453,124.90164184570312,131.54380798339844
154.54074096679688,124.90139770507812,131.5394287109375
154.52064514160156,124.90108489990234,131.5420684814453
154.52029418945312,124.89505004882812,131.5424346923828
154.50015258789062,124.89696502685547,131.54257202148438
154.4584197998047,124.89326477050781,131.5519256591797
154.44711303710938,124.900634765625,131.56088256835938
154.46730041503906,124.91309356689453,131.56793212890625
154.54408264160156,124.91807556152344,131.57281494140625
154.62498474121094,124.9201431274414,131.57846069335938
154.76441955566406,124.91757202148438,131.5833282470703
154.7842559814453,124.91595458984375,131.59300231933594
154.79725646972656,124.91478729248047,131.59815979003906
154.88951110839844,124.91400146484375,131.60098266601562
154.908447265625,124.92247009277344,131.60667419433594
154.96075439453125,124.91858673095703,131.60829162597656
154.98289489746094,124.91728973388672,131.60671997070312
154.9598846435547,124.91765594482422,131.6045379638672
154.9149932861328,124.90745544433594,131.60403442382812
154.96498107910156,124.90553283691406,131.6033172607422
154.95640563964844,124.90480041503906,131.60159301757812
154.94984436035156,124.90662384033203,131.6002960205078
154.94207763671875,124.90895080566406,131.59710693359375
154.94117736816406,124.90734100341797,131.5950164794922
154.86105346679688,124.9053726196289,131.59608459472656
154.86996459960938,124.9034652709961,131.5959930419922
154.8755645751953,124.90666961669922,131.59963989257812
154.80685424804688,124.91411590576172,131.6104278564453
154.77734375,124.90776062011719,131.63291931152344
154.82803344726562,124.90812683105469,131.6332244873047
154.89707946777344,124.9094009399414,131.63197326660156
154.8909149169922,124.91179656982422,131.62255859375
154.8508758544922,124.91386413574219,131.61732482910156
154.79124450683594,124.90894317626953,131.6167755126953
154.76683044433594,124.90939331054688,131.61886596679688
154.78970336914062,124.90865325927734,131.61302185058594
154.8115692138672,124.91040802001953,131.61085510253906
154.79833984375,124.90888977050781,131.61294555664062
154.91082763671875,124.90948486328125,131.6131134033203
154.98948669433594,124.90676879882812,131.61074829101562
154.99496459960938,124.91024017333984,131.60888671875
155.11720275878906,124.90798950195312,131.6103057861328
155.22386169433594,124.90971374511719,131.60939025878906
155.36767578125,124.90816497802734,131.61155700683594
