b,g,r
150.02838134765625,154.66909790039062,158.7758331298828
150.17332458496094,154.7867889404297,158.89459228515625
150.2590789794922,154.86941528320312,158.98265075683594
150.4181671142578,155.0045928955078,159.12416076660156
150.48898315429688,155.05291748046875,159.1871337890625
150.4774627685547,155.05215454101562,159.18898010253906
150.5881805419922,155.17138671875,159.301025390625
150.66403198242188,155.2342987060547,159.37095642089844
150.90940856933594,155.4872283935547,159.63441467285156
151.29754638671875,155.92462158203125,160.03065490722656
151.3157196044922,156.01321411132812,160.1346435546875
151.43228149414062,156.12075805664062,160.24205017089844
151.51551818847656,156.18125915527344,160.31137084960938
151.57716369628906,156.2093048095703,160.3638153076172
151.4038848876953,156.07318115234375,160.2317657470703
151.505615234375,156.1519012451172,160.33810424804688
151.5360107421875,156.16505432128906,160.34945678710938
151.45855712890625,156.05868530273438,160.23440551757812
151.34829711914062,155.9078369140625,160.10130310058594
151.3471221923828,155.89097595214844,160.1185760498047
151.4381561279297,156.0455322265625,160.25213623046875
151.41879272460938,156.00173950195312,160.2123260498047
151.4571075439453,155.94329833984375,160.21177673339844
151.4517059326172,155.89828491210938,160.15296936035156
151.34107971191406,155.78680419921875,160.023681640625
151.17921447753906,155.6431884765625,159.8834228515625
151.05316162109375,155.5356903076172,159.7799835205078
151.00880432128906,155.51658630371094,159.76214599609375
151.07186889648438,155.5972137451172,159.82582092285156
150.90646362304688,155.49595642089844,159.70077514648438
150.66146850585938,155.49818420410156,159.61636352539062
150.48597717285156,155.33230590820312,159.4429473876953
150.31698608398438,155.08187866210938,159.22982788085938
150.25440979003906,155.00550842285156,159.15670776367188
150.28668212890625,155.0380859375,159.19590759277344
150.29925537109375,155.0005340576172,159.1908416748047
150.21463012695312,154.88671875,159.10943603515625
150.1077880859375,154.76669311523438,159.00466918945312
149.97323608398438,154.69273376464844,158.919921875
150.03628540039062,154.7356719970703,158.97657775878906
149.9882354736328,154.68704223632812,158.9258270263672
149.99984741210938,154.71534729003906,158.94406127929688
149.99024963378906,154.71148681640625,158.942138671875
149.8872833251953,154.5900421142578,158.82640075683594
149.73605346679688,154.45428466796875,158.72828674316406
149.73658752441406,154.44070434570312,158.70843505859375
149.64501953125,154.33726501464844,158.5967559814453
149.44195556640625,154.13925170898438,158.39918518066406
149.3248291015625,153.9984588623047,158.24090576171875
149.04518127441406,153.68675231933594,157.9419708251953
148.830810546875,153.41119384765625,157.67308044433594
148.71658325195312,153.2736053466797,157.56063842773438
148.63218688964844,153.1712188720703,157.45462036132812
148.44651794433594,152.97914123535156,157.28370666503906
148.3299102783203,152.8754425048828,157.17018127441406
148.30532836914062,152.91392517089844,157.1835174560547
148.3118133544922,152.93165588378906,157.19754028320312
148.2395477294922,152.88314819335938,157.1446075439453
148.14547729492188,152.82371520996094,157.10537719726562
148.08456420898438,152.746826171875,157.04129028320312
148.06118774414062,152.76683044433594,157.05844116210938
148.02029418945312,152.72039794921875,157.01976013183594
147.8400115966797,152.61514282226562,156.92259216308594
147.87435913085938,152.64462280273438,156.98094177246094
147.83702087402344,152.5952911376953,156.94456481933594
147.91490173339844,152.63259887695312,157.002197265625
147.99166870117188,152.70095825195312,157.0762481689453
148.1761932373047,152.85910034179688,157.2504119873047
148.3713836669922,153.0218048095703,157.4492950439453
148.44566345214844,153.10926818847656,157.54483032226562
148.4873809814453,153.1473388671875,157.59751892089844
148.553955078125,153.22601318359375,157.6698455810547
148.64352416992188,153.32278442382812,157.76119995117188
148.62733459472656,153.2968292236328,157.7471160888672
148.57571411132812,153.23020935058594,157.6986541748047
148.30125427246094,152.9605255126953,157.44236755371094
148.2181854248047,152.8597412109375,157.35475158691406
148.12496948242188,152.76670837402344,157.26882934570312
148.0130615234375,152.63453674316406,157.14804077148438
147.87744140625,152.49856567382812,157.01028442382812
147.67088317871094,152.2913055419922,156.82362365722656
147.5365447998047,152.12094116210938,156.6671600341797
147.38870239257812,151.8863067626953,156.49063110351562
147.26406860351562,151.75537109375,156.36622619628906
147.23350524902344,151.7058868408203,156.33761596679688
147.2554168701172,151.72341918945312,156.36965942382812
147.2464141845703,151.7176971435547,156.38381958007812
147.09678649902344,151.56793212890625,156.26669311523438
147.10951232910156,151.55799865722656,156.26480102539062
147.10446166992188,151.5352020263672,156.2437744140625
147.01751708984375,151.322021484375,156.25253295898438
146.97634887695312,151.2742462158203,156.2191925048828
147.01730346679688,151.3182830810547,156.26324462890625
147.05517578125,151.3486785888672,156.2953643798828
147.13717651367188,151.43101501464844,156.38455200195312
147.22760009765625,151.5218048095703,156.48353576660156
147.40966796875,151.70614624023438,156.68801879882812
147.47276306152344,151.7664337158203,156.76705932617188
147.51669311523438,151.80677795410156,156.80606079101562
147.572509765625,151.86424255371094,156.85443115234375
147.51553344726562,151.80523681640625,156.82135009765625
147.45941162109375,151.74742126464844,156.77159118652344
147.46615600585938,151.75534057617188,156.7815704345703
147.48788452148438,151.7936248779297,156.81906127929688
147.3708038330078,151.6893768310547,156.74826049804688
147.36151123046875,151.6533966064453,156.73602294921875
147.17124938964844,151.4305877685547,156.5398406982422
147.06857299804688,151.29641723632812,156.41712951660156
147.10403442382812,151.31863403320312,156.44732666015625
146.95388793945312,151.13137817382812,156.28012084960938
146.8474578857422,151.0079803466797,156.15133666992188
146.67518615722656,150.8413848876953,155.98338317871094
146.4899139404297,150.65809631347656,155.80577087402344
146.32041931152344,150.49850463867188,155.65394592285156
146.2637176513672,150.44285583496094,155.59921264648438
146.25265502929688,150.42623901367188,155.5777130126953
146.11395263671875,150.28565979003906,155.43417358398438
146.07223510742188,150.2554168701172,155.39794921875
146.0467987060547,150.2237548828125,155.37025451660156
145.9261474609375,150.11737060546875,155.2991180419922
145.94284057617188,150.1269073486328,155.3907928466797
145.97560119628906,150.15594482421875,155.41600036621094
146.07028198242188,150.23651123046875,155.50465393066406
146.07455444335938,150.21400451660156,155.53079223632812
146.14141845703125,150.26275634765625,155.5835723876953
146.1322021484375,150.22857666015625,155.55804443359375
